din_instante;id_subsistema_origem;nom_subsistema_origem;id_subsistema_destino;nom_subsistema_destino;val_intercambiomwmed
2022-01-02 05:00:00;N;NORTE;SE;SUDESTE;6373.331
2022-01-02 05:00:00;NE;NORDESTE;SE;SUDESTE;739.772
2022-01-02 05:00:00;SE;SUDESTE;S;SUL;6383.327
2022-01-02 06:00:00;N;NORTE;NE;NORDESTE;122.146
2022-01-02 06:00:00;N;NORTE;SE;SUDESTE;5951.127
2022-01-02 06:00:00;NE;NORDESTE;SE;SUDESTE;966.462
2022-01-02 06:00:00;SE;SUDESTE;S;SUL;6131.464
2022-01-02 07:00:00;N;NORTE;NE;NORDESTE;-181.119
2022-01-02 07:00:00;N;NORTE;SE;SUDESTE;6520.802
2022-01-02 07:00:00;NE;NORDESTE;SE;SUDESTE;1415.754
2022-01-02 07:00:00;SE;SUDESTE;S;SUL;6437.72
2022-01-02 08:00:00;N;NORTE;NE;NORDESTE;-261.615
2022-01-02 08:00:00;N;NORTE;SE;SUDESTE;6786.816
2022-01-02 08:00:00;NE;NORDESTE;SE;SUDESTE;1623.184
2022-01-02 08:00:00;SE;SUDESTE;S;SUL;6535.129
2022-01-02 09:00:00;N;NORTE;NE;NORDESTE;-36.069
2022-01-02 09:00:00;N;NORTE;SE;SUDESTE;6898.043
2022-01-02 09:00:00;NE;NORDESTE;SE;SUDESTE;1643.226
2022-01-02 09:00:00;SE;SUDESTE;S;SUL;6442.748
2022-01-02 10:00:00;N;NORTE;NE;NORDESTE;93.232
2022-01-02 10:00:00;N;NORTE;SE;SUDESTE;7227.574
2022-01-02 10:00:00;NE;NORDESTE;SE;SUDESTE;1679.473
2022-01-02 10:00:00;SE;SUDESTE;S;SUL;6573.353
2022-01-02 11:00:00;N;NORTE;NE;NORDESTE;51.886
2022-01-02 11:00:00;N;NORTE;SE;SUDESTE;7174.86
2022-01-02 11:00:00;NE;NORDESTE;SE;SUDESTE;1853.273
2022-01-02 11:00:00;SE;SUDESTE;S;SUL;6929.926
2022-01-02 12:00:00;N;NORTE;NE;NORDESTE;34.67199999
2022-01-02 12:00:00;N;NORTE;SE;SUDESTE;7245.101
2022-01-02 12:00:00;NE;NORDESTE;SE;SUDESTE;2034.547
2022-01-02 12:00:00;SE;SUDESTE;S;SUL;7244.268
2022-01-02 13:00:00;N;NORTE;NE;NORDESTE;-229.216
2022-01-02 13:00:00;N;NORTE;SE;SUDESTE;7520.608
2022-01-02 13:00:00;NE;NORDESTE;SE;SUDESTE;2285.648
2022-01-02 13:00:00;SE;SUDESTE;S;SUL;7508.384
2022-01-02 14:00:00;N;NORTE;NE;NORDESTE;-343.683
2022-01-02 14:00:00;N;NORTE;SE;SUDESTE;7489.401
2022-01-02 14:00:00;NE;NORDESTE;SE;SUDESTE;2392.088
2022-01-02 14:00:00;SE;SUDESTE;S;SUL;7680.209
2022-01-02 15:00:00;N;NORTE;NE;NORDESTE;-388.941
2022-01-02 15:00:00;N;NORTE;SE;SUDESTE;7851.486
2022-01-02 15:00:00;NE;NORDESTE;SE;SUDESTE;2675.37199999
2022-01-02 15:00:00;SE;SUDESTE;S;SUL;7604.672
2022-01-02 16:00:00;N;NORTE;NE;NORDESTE;-517.75699999
2022-01-02 16:00:00;N;NORTE;SE;SUDESTE;9263.36299999
2022-01-02 16:00:00;NE;NORDESTE;SE;SUDESTE;2635.18199999
2022-01-02 16:00:00;SE;SUDESTE;S;SUL;8138.645
2022-01-02 17:00:00;N;NORTE;NE;NORDESTE;-232.551
2022-01-02 17:00:00;N;NORTE;SE;SUDESTE;9784.846
2022-01-02 17:00:00;NE;NORDESTE;SE;SUDESTE;2245.418
2022-01-02 17:00:00;SE;SUDESTE;S;SUL;8394.24599999
2022-01-02 18:00:00;N;NORTE;NE;NORDESTE;895.096
2022-01-02 18:00:00;N;NORTE;SE;SUDESTE;9789.049
2022-01-02 18:00:00;NE;NORDESTE;SE;SUDESTE;1777.948
2022-01-02 18:00:00;SE;SUDESTE;S;SUL;7995.99
2022-01-02 19:00:00;N;NORTE;NE;NORDESTE;1330.479
2022-01-02 19:00:00;N;NORTE;SE;SUDESTE;9979.109
2022-01-02 19:00:00;NE;NORDESTE;SE;SUDESTE;1744.59
2022-01-02 19:00:00;SE;SUDESTE;S;SUL;6858.402
2022-01-02 20:00:00;N;NORTE;NE;NORDESTE;1524.399
2022-01-02 20:00:00;N;NORTE;SE;SUDESTE;9941.946
2022-01-02 20:00:00;NE;NORDESTE;SE;SUDESTE;1723.892
2022-01-02 20:00:00;SE;SUDESTE;S;SUL;6410.477
2022-01-02 21:00:00;N;NORTE;NE;NORDESTE;1856.489
2022-01-02 21:00:00;N;NORTE;SE;SUDESTE;9877.315
2022-01-02 21:00:00;NE;NORDESTE;SE;SUDESTE;1576.52
2022-01-02 21:00:00;SE;SUDESTE;S;SUL;6871.092
2022-01-02 22:00:00;N;NORTE;NE;NORDESTE;1844.275
2022-01-02 22:00:00;N;NORTE;SE;SUDESTE;9765.374
2022-01-02 22:00:00;NE;NORDESTE;SE;SUDESTE;1572.202
2022-01-02 22:00:00;SE;SUDESTE;S;SUL;7388.475
2022-01-02 23:00:00;N;NORTE;NE;NORDESTE;1611.715
2022-01-02 23:00:00;N;NORTE;SE;SUDESTE;9616.502
2022-01-02 23:00:00;NE;NORDESTE;SE;SUDESTE;1563.517
2022-01-02 23:00:00;SE;SUDESTE;S;SUL;8143.141
2022-01-03 00:00:00;N;NORTE;NE;NORDESTE;1710.254
2022-01-03 00:00:00;N;NORTE;SE;SUDESTE;9830.591
2022-01-03 00:00:00;NE;NORDESTE;SE;SUDESTE;1520.398
2022-01-03 00:00:00;SE;SUDESTE;S;SUL;8685.72799999
2022-01-03 01:00:00;N;NORTE;NE;NORDESTE;2151.643
2022-01-03 01:00:00;N;NORTE;SE;SUDESTE;9810.161
2022-01-03 01:00:00;NE;NORDESTE;SE;SUDESTE;1248.404
2022-01-03 01:00:00;SE;SUDESTE;S;SUL;8854.177
2022-01-03 02:00:00;N;NORTE;NE;NORDESTE;2159.638
2022-01-03 02:00:00;N;NORTE;SE;SUDESTE;9480.892
2022-01-03 02:00:00;NE;NORDESTE;SE;SUDESTE;855.154
2022-01-03 02:00:00;SE;SUDESTE;S;SUL;8548.37099999
2022-01-03 03:00:00;N;NORTE;NE;NORDESTE;1932.79
2022-01-03 03:00:00;N;NORTE;SE;SUDESTE;9405.02299999
2022-01-03 03:00:00;NE;NORDESTE;SE;SUDESTE;926.497
2022-01-03 03:00:00;SE;SUDESTE;S;SUL;8440.625
2022-01-03 04:00:00;N;NORTE;NE;NORDESTE;1860.692
2022-01-03 04:00:00;N;NORTE;SE;SUDESTE;9519.075
2022-01-03 04:00:00;NE;NORDESTE;SE;SUDESTE;946.118
2022-01-03 04:00:00;SE;SUDESTE;S;SUL;8550.285
2022-01-03 05:00:00;N;NORTE;NE;NORDESTE;1366.98399999
2022-01-03 05:00:00;N;NORTE;SE;SUDESTE;9542.521
2022-01-03 05:00:00;NE;NORDESTE;SE;SUDESTE;1156.767
2022-01-03 05:00:00;SE;SUDESTE;S;SUL;8556.266
2022-01-03 06:00:00;N;NORTE;NE;NORDESTE;781.468
2022-01-03 06:00:00;N;NORTE;SE;SUDESTE;9632.20199999
2022-01-03 06:00:00;NE;NORDESTE;SE;SUDESTE;1498.734
2022-01-03 06:00:00;SE;SUDESTE;S;SUL;8178.486
2022-01-03 07:00:00;N;NORTE;NE;NORDESTE;95.814
2022-01-03 07:00:00;N;NORTE;SE;SUDESTE;9781.989
2022-01-03 07:00:00;NE;NORDESTE;SE;SUDESTE;1766.916
2022-01-03 07:00:00;SE;SUDESTE;S;SUL;6949.421
2022-01-03 08:00:00;N;NORTE;NE;NORDESTE;225.928
2022-01-03 08:00:00;N;NORTE;SE;SUDESTE;10093.94199999
2022-01-03 08:00:00;NE;NORDESTE;SE;SUDESTE;1921.885
2022-01-03 08:00:00;SE;SUDESTE;S;SUL;7469.349
2022-01-03 09:00:00;N;NORTE;NE;NORDESTE;312.839
2022-01-03 09:00:00;N;NORTE;SE;SUDESTE;10125.959
2022-01-03 09:00:00;NE;NORDESTE;SE;SUDESTE;1957.997
2022-01-03 09:00:00;SE;SUDESTE;S;SUL;7663.076
2022-01-03 10:00:00;N;NORTE;NE;NORDESTE;809.571
2022-01-03 10:00:00;N;NORTE;SE;SUDESTE;10271.355
2022-01-03 10:00:00;NE;NORDESTE;SE;SUDESTE;1729.521
2022-01-03 10:00:00;SE;SUDESTE;S;SUL;7113.819
2022-01-03 11:00:00;N;NORTE;NE;NORDESTE;764.985
2022-01-03 11:00:00;N;NORTE;SE;SUDESTE;10727.44
2022-01-03 11:00:00;NE;NORDESTE;SE;SUDESTE;2085.887
2022-01-03 11:00:00;SE;SUDESTE;S;SUL;7956.056
2022-01-03 12:00:00;N;NORTE;NE;NORDESTE;823.661
2022-01-03 12:00:00;N;NORTE;SE;SUDESTE;10559.538
2022-01-03 12:00:00;NE;NORDESTE;SE;SUDESTE;2195.819
2022-01-03 12:00:00;SE;SUDESTE;S;SUL;8179.753
2022-01-03 13:00:00;N;NORTE;NE;NORDESTE;1080.16799999
2022-01-03 13:00:00;N;NORTE;SE;SUDESTE;10612.29
2022-01-03 13:00:00;NE;NORDESTE;SE;SUDESTE;2066.21799999
2022-01-03 13:00:00;SE;SUDESTE;S;SUL;8360.311
2022-01-03 14:00:00;N;NORTE;NE;NORDESTE;1518.752
2022-01-03 14:00:00;N;NORTE;SE;SUDESTE;10448.617
2022-01-03 14:00:00;NE;NORDESTE;SE;SUDESTE;1656.368
2022-01-03 14:00:00;SE;SUDESTE;S;SUL;7945.007
2022-01-03 15:00:00;N;NORTE;NE;NORDESTE;1458.344
2022-01-03 15:00:00;N;NORTE;SE;SUDESTE;10474.499
2022-01-03 15:00:00;NE;NORDESTE;SE;SUDESTE;1778.389
